Cities,Start Date,Nation,,,,
Paris,05/12/2011,France,,,,
Boston,19/09/2012,U.S.A,,,,
Johannesburg and Pretoria,08/08/2013,South Africa,,,,
Manila,13/02/2014,Phillipines,,,,
Sydney,30/11/2012,Australia,,,,
Washington D.C.,08/08/2013,U.S.A,,,,
London,02/07/2012,United Kingdom,,,,
Belfast,11/12/2015,United Kingdom,,,,
Birmingham,12/02/2015,United Kingdom,,,,
Cambridge,10/11/2016,United Kingdom,,,,
Cardiff,22/04/2016,United Kingdom,,,,
Edinburgh,06/11/2015,United Kingdom,,,,
Glasgow,16/08/2015,United Kingdom,,,,
Leeds,15/11/2014,United Kingdom,,,,
Leicester,19/11/2015,United Kingdom,,,,
Manchester,07/03/2014,United Kingdom,,,,
Merseyside,12/08/2015,United Kingdom,,,,
Nottingham,06/11/2015,United Kingdom,,,,
Sheffield,05/06/2015,United Kingdom,,,,
York,09/09/2016,United Kingdom,,,,
Sunderland,22/04/2016,United Kingdom,,,,
Southampton,08/04/2016,United Kingdom,,,,
Newcastle,22/04/2015,United Kingdom,,,,
Bristol,05/06/2015,United Kingdom,,,,
Portsmouth,13/11/2015,United Kingdom,,,,
Oxford,01/07/2016,United Kingdom,,,,
Rotherham,30/08/2015,United Kingdom,,,,
